"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Appomattox, VA","50","11.0%","62","21.6%","43.3","1.5%"
"Robeson, NC","44","11.5%","-","20.3%","35.8","-7.2%"
"Amherst, VA","55","11.1%","52","20.6%","43.3","0.9%"
"Anson, NC","40","16.2%","38","23.5%","42.4","-14.3%"
"Iredell, NC","42","9.7%","64","30.1%","40.8","13.7%"
"Alleghany, VA","44","20.5%","-","35.4%","48.1","-1.4%"
"Alleghany, NC","58","34.8%","-","14.8%","51.4","-5.0%"
"Alexander, IL","41","38.3%","40","0.0%","45.8","-25.6%"
"Alexander, NC","45","13.8%","52","32.6%","43.8","-1.6%"
"Wyoming, WV","54","20.5%","-","0.0%","45.3","-8.4%"
"Buncombe, NC","40","24.0%","61","36.2%","42.7","8.3%"
"Orangeburg, SC","44","18.0%","48","20.3%","41.2","-2.6%"
"McIntosh, GA","42","29.6%","17","16.2%","52.1","-28.5%"
"Screven, GA","45","27.2%","-","25.0%","42.7","-3.0%"
"Jenkins, GA","37","30.7%","-","28.5%","42.3","-4.8%"
"Broward, FL","32","12.5%","65","24.3%","41.5","4.9%"
"Miami-Dade, FL","43","10.7%","58","18.8%","41.0","7.0%"
"Carter, TN","45","13.5%","56","34.1%","45.8","-0.5%"
"Carter, KY","64","15.5%","57","17.3%","41.8","-1.5%"
"Lewis, WV","57","15.2%","-","20.0%","43.2","3.1%"
"Lewis, TN","37","10.3%","-","32.8%","42.2","4.1%"
"Lewis, KY","47","19.2%","-","16.0%","42.1","-7.3%"
"Menifee, KY","42","29.5%","-","16.3%","45.1","-12.8%"
"Bath, VA","48","46.6%","-","23.5%","52.3","1.0%"
"Bath, KY","36","13.4%","-","25.0%","39.0","0.3%"
"Robertson, TN","32","3.3%","53","26.1%","38.9","10.0%"
"Robertson, KY","44","20.5%","-","0.0%","39.7","-12.0%"
"Darke, OH","56","5.7%","-","28.7%","42.0","-0.8%"
"Blackford, IN","50","13.6%","-","50.0%","44.0","-2.6%"
"Decatur, GA","38","20.0%","-","19.0%","38.7","7.3%"
"Decatur, TN","41","32.6%","-","15.3%","45.9","-4.6%"
"Decatur, IN","48","9.4%","-","34.5%","40.4","2.1%"
"Jennings, IN","40","7.9%","-","32.4%","40.1","-4.7%"
"Tippecanoe, IN","47","6.7%","54","20.5%","29.0","6.5%"
"Estill, KY","53","13.8%","66","11.1%","44.3","-0.8%"
"Loudon, TN","33","7.7%","64","37.0%","48.7","11.4%"
"Bradley, TN","42","8.2%","55","30.7%","38.0","5.3%"
"Rhea, TN","48","13.5%","-","25.8%","41.0","4.4%"
"Adair, KY","36","19.0%","-","19.3%","40.1","0.4%"
"Elbert, GA","41","12.0%","-","16.2%","42.4","-2.3%"
"Taliaferro, GA","24","34.5%","-","0.0%","44.8","-3.3%"
"Irwin, GA","35","10.9%","-","14.8%","40.4","2.7%"
"Bleckley, GA","48","18.1%","-","14.2%","37.4","-1.5%"
"Spalding, GA","35","7.9%","47","27.0%","39.5","5.9%"
"Coweta, GA","37","4.9%","53","25.0%","39.7","8.8%"
"Early, GA","51","18.0%","-","23.5%","40.7","-0.7%"
"Chattahoochee, GA","49","34.6%","42","0.0%","23.9","-13.2%"
"Paulding, GA","39","5.5%","71","35.3%","37.8","11.9%"
"Barbour, WV","56","17.6%","-","36.3%","42.4","-9.7%"
"Barbour, AL","49","22.4%","-","16.1%","40.7","-1.9%"
"Posey, IN","45","7.3%","33","18.7%","43.1","-3.4%"
"Trigg, KY","43","21.1%","57","25.6%","46.6","-3.7%"
"Lyon, KY","56","31.0%","-","27.5%","47.8","-1.6%"
"Saline, IL","60","13.3%","-","20.6%","43.2","-0.9%"
"Weakley, TN","45","11.6%","-","30.5%","37.9","-3.7%"
"Mississippi, MO","45","13.6%","-","10.5%","42.2","-7.5%"
"Walker, GA","35","12.8%","35","28.1%","41.1","-2.0%"
"Walker, AL","48","17.8%","65","18.6%","41.3","-3.2%"
"Marengo, AL","44","22.5%","-","9.7%","41.1","-4.7%"
"Bronx, NY","48","4.7%","39","11.7%","36.7","6.0%"
"Sussex, DE","49","28.6%","-","21.6%","52.6","10.7%"
"Sussex, VA","50","20.6%","49","15.3%","41.0","-2.0%"
"Hunterdon, NJ","63","2.0%","42","9.3%","46.2","3.5%"
"Worcester, MD","46","57.8%","-","22.7%","50.7","0.7%"
"Talbot, GA","51","17.4%","51","34.7%","50.5","-10.0%"
"Talbot, MD","52","17.5%","-","18.4%","51.1","-2.6%"
"Anne Arundel, MD","56","4.7%","52","20.4%","39.6","5.0%"
"Fauquier, VA","55","6.2%","38","21.3%","41.2","5.9%"
"Dare, NC","49","52.6%","-","22.6%","48.5","0.9%"
"Northampton, PA","60","5.2%","60","23.1%","42.1","5.6%"
"Northampton, NC","53","28.4%","-","21.4%","51.6","-8.9%"
"Northampton, VA","47","28.4%","-","12.9%","51.6","0.7%"
"Hyde, NC","48","33.2%","-","8.6%","48.5","-2.4%"
"Perquimans, NC","52","19.3%","-","27.4%","50.5","-3.0%"
"Hertford, NC","54","15.2%","-","18.6%","42.3","-7.5%"
"Duplin, NC","42","15.6%","-","26.0%","40.7","-7.9%"
"Hardy, WV","57","28.0%","-","13.3%","47.3","-0.4%"
"Waynesboro, VA","48","7.4%","50","11.1%","38.9","3.8%"
"Monongalia, WV","60","11.2%","50","15.5%","32.6","10.7%"
"Columbiana, OH","53","8.1%","-","23.4%","45.4","-1.4%"
"Doddridge, WV","55","25.6%","67","57.1%","45.3","-17.1%"
"Ritchie, WV","46","20.5%","-","34.7%","47.2","-28.5%"
"Guernsey, OH","52","14.5%","-","18.0%","42.7","-1.3%"
"Wood, WV","55","8.2%","-","28.0%","43.8","-0.0%"
"Boyd, KY","59","12.4%","64","20.7%","42.4","0.2%"
"Prince Edward, VA","42","17.5%","-","12.1%","32.4","-2.5%"
"Durham, NC","31","8.5%","62","29.7%","36.0","12.8%"
"Botetourt, VA","53","12.6%","43","28.1%","48.1","1.3%"
"Greenbrier, WV","59","17.7%","-","16.7%","46.5","-7.1%"
"Patrick, VA","57","22.0%","-","33.8%","51.0","-1.9%"
"Galax, VA","53","15.0%","-","27.5%","41.9","-4.5%"
"Raleigh, WV","59","18.3%","-","17.0%","42.4","-4.2%"
"Catawba, NC","41","8.4%","60","27.7%","42.4","7.4%"
"McDowell, NC","43","14.1%","-","27.4%","44.3","0.8%"
"McDowell, WV","43","30.8%","-","16.6%","43.6","-16.1%"
"Mingo, WV","49","21.9%","-","19.0%","44.3","-9.8%"
"Florence, SC","47","14.4%","51","20.7%","39.5","2.5%"
"Clarendon, SC","46","25.3%","-","18.1%","45.9","-9.7%"
"Effingham, IL","53","8.5%","-","33.3%","39.5","3.1%"
"Effingham, GA","45","4.5%","47","25.6%","35.8","20.6%"
"Bryan, GA","42","8.6%","64","37.4%","34.7","25.0%"
"Glynn, GA","43","14.7%","53","19.1%","44.8","2.1%"
"Brantley, GA","29","17.1%","52","17.3%","40.9","1.4%"
"McCormick, SC","43","26.1%","-","28.0%","58.7","-0.4%"
"Jeff Davis, GA","48","15.8%","-","22.2%","40.5","-1.8%"
"Volusia, FL","29","15.0%","69","31.1%","46.8","9.5%"
"Hardee, FL","37","17.5%","-","12.5%","35.9","1.5%"
"Bradford, FL","38","15.9%","-","22.9%","40.5","-1.7%"
"Alachua, FL","36","6.4%","65","28.0%","33.4","9.4%"
"Hillsborough, FL","32","8.0%","70","36.6%","37.9","9.1%"
"Pinellas, FL","26","15.7%","61","37.6%","49.4","2.3%"
"Sarasota, FL","27","20.1%","72","29.9%","57.6","11.8%"
"Rowan, NC","36","7.4%","52","31.8%","41.0","6.2%"
"Rowan, KY","54","11.6%","-","13.3%","31.2","2.6%"
"Auglaize, OH","59","5.4%","-","17.3%","40.6","0.9%"
"Switzerland, IN","58","11.4%","-","14.2%","42.1","-16.4%"
"Wells, IN","51","5.3%","61","25.0%","40.2","1.3%"
"Dubois, IN","55","6.0%","-","20.6%","40.1","5.2%"
"Hawkins, TN","44","15.4%","59","29.0%","45.9","0.5%"
"Wolfe, KY","33","16.3%","-","20.0%","41.5","-18.1%"
"Sevier, TN","27","29.1%","43","38.4%","43.4","3.4%"
"Bell, KY","49","17.9%","-","28.9%","41.2","-12.1%"
"Towns, GA","45","33.2%","-","21.5%","56.9","6.8%"
"Graham, NC","56","36.8%","-","22.2%","45.5","-12.8%"
"Lumpkin, GA","49","14.6%","45","38.9%","36.9","-1.0%"
"McCreary, KY","41","19.1%","-","28.5%","38.7","-7.7%"
"Garrard, KY","46","8.8%","-","33.7%","42.9","-3.0%"
"Casey, KY","41","15.9%","-","13.3%","41.5","-1.2%"
"Overton, TN","37","13.2%","70","27.2%","43.1","-0.0%"
"Nelson, VA","58","34.9%","41","9.4%","51.3","-1.6%"
"Nelson, KY","45","6.3%","56","24.0%","39.7","6.2%"
"Metcalfe, KY","49","10.0%","-","26.6%","41.9","-0.4%"
"Simpson, KY","31","9.0%","-","21.3%","39.0","9.6%"
"Oglethorpe, GA","49","18.7%","40","34.0%","42.6","-2.5%"
"Dooly, GA","43","18.2%","-","9.7%","45.9","-23.3%"
"Crisp, GA","43","19.5%","-","22.8%","40.4","-8.1%"
"Gwinnett, GA","39","4.5%","57","30.8%","36.4","10.5%"
"Douglas, IL","63","7.9%","-","16.6%","38.9","0.5%"
"Douglas, GA","33","6.6%","60","26.7%","36.3","7.7%"
"Bartow, GA","42","9.9%","69","29.8%","38.9","12.9%"
"Haralson, GA","39","8.4%","48","23.0%","38.8","1.3%"
"Chattooga, GA","41","15.9%","-","25.0%","41.1","-0.6%"
"Tallapoosa, AL","45","27.9%","-","23.3%","45.4","2.9%"
"Gadsden, FL","47","13.6%","32","25.0%","42.0","-3.8%"
"Gulf, FL","30","36.5%","-","21.3%","47.3","-3.3%"
"Richland, SC","48","10.9%","55","23.5%","34.6","8.8%"
"Richland, IL","61","13.1%","-","0.0%","42.5","-1.9%"
"Williamson, IL","55","8.3%","-","15.4%","40.8","2.6%"
"Williamson, TN","40","4.2%","44","23.0%","40.8","17.2%"
"Cheatham, TN","30","7.3%","47","23.0%","41.4","6.4%"
"Humphreys, TN","40","22.5%","-","23.7%","43.7","-1.1%"
"Prentiss, MS","45","15.1%","53","34.2%","37.9","-1.2%"
"Massac, IL","57","19.6%","-","25.0%","45.0","-4.5%"
"Tippah, MS","47","20.5%","-","16.3%","39.7","1.2%"
"Hardeman, TN","44","15.4%","-","13.4%","40.4","-2.3%"
"Carlisle, KY","56","18.9%","-","0.0%","43.6","-6.0%"
"Dyer, TN","49","8.6%","-","21.4%","40.0","-3.3%"
"Cape Girardeau, MO","51","7.2%","49","21.1%","36.9","6.0%"
"Escambia, AL","45","23.7%","-","20.1%","40.5","0.9%"
"Escambia, FL","33","13.1%","76","29.9%","38.2","6.1%"
"Atlantic, NJ","57","15.9%","63","18.2%","42.6","2.9%"
"Wicomico, MD","48","10.5%","66","24.1%","37.0","4.4%"
"Lehigh, PA","58","3.0%","55","21.1%","39.8","3.6%"
"Harford, MD","50","2.3%","45","19.4%","41.0","5.4%"
"Northumberland, VA","55","39.6%","-","14.0%","59.5","-2.4%"
"Calvert, MD","57","7.3%","-","20.9%","39.9","2.5%"
"Prince George's, MD","43","4.7%","46","21.7%","39.1","10.5%"
"Caroline, MD","51","9.8%","-","22.8%","39.8","-0.4%"
"Caroline, VA","47","7.9%","-","15.8%","39.4","4.2%"
"Falls Church, VA","31","4.8%","39","11.1%","39.4","7.7%"
"Culpeper, VA","50","4.8%","52","21.4%","39.3","5.5%"
"Winchester, VA","51","9.7%","64","26.6%","36.7","4.8%"
"Newport News, VA","52","7.3%","61","27.9%","34.7","5.2%"
"Craven, NC","47","14.9%","36","19.7%","39.0","1.7%"
"Jones, GA","47","8.4%","40","13.0%","41.4","-0.3%"
"Jones, MS","48","11.2%","-","20.4%","38.4","-0.4%"
"Jones, NC","49","16.2%","51","30.7%","48.1","-5.7%"
"Pitt, NC","40","10.8%","56","19.1%","34.1","4.1%"
"Goochland, VA","54","8.2%","56","10.4%","49.4","18.9%"
"New Hanover, NC","42","13.7%","57","30.3%","41.3","8.8%"
"Shenandoah, VA","54","16.5%","-","17.2%","42.9","0.7%"
"Brooke, WV","52","11.8%","38","20.3%","46.6","-1.2%"
"Harrison, KY","52","11.0%","-","27.1%","42.4","-1.4%"
"Harrison, MS","43","10.6%","64","23.8%","40.2","2.6%"
"Harrison, WV","55","11.1%","42","22.7%","43.1","-3.7%"
"Harrison, IN","51","10.0%","47","24.5%","43.0","-0.7%"
"Harrison, OH","46","19.9%","-","21.8%","46.1","-8.8%"
"Halifax, NC","49","18.4%","-","20.0%","43.8","-4.1%"
"Halifax, VA","56","21.3%","-","11.4%","46.7","-4.4%"
"Bland, VA","50","26.8%","-","20.0%","47.1","-3.2%"
"Gaston, NC","32","5.7%","61","31.4%","39.0","9.9%"
"Lincoln, TN","37","9.5%","-","27.2%","43.0","4.1%"
"Lincoln, GA","47","33.6%","30","27.2%","48.3","-7.9%"
"Lincoln, KY","46","10.9%","-","31.1%","41.9","-1.0%"
"Lincoln, WV","50","18.4%","-","32.0%","44.0","-3.5%"
"Lincoln, NC","41","7.2%","58","32.2%","44.3","10.3%"
"Rutherford, TN","33","5.1%","60","25.9%","34.6","16.2%"
"Rutherford, NC","42","18.6%","-","26.9%","45.9","-4.3%"
"Buchanan, VA","49","28.9%","-","14.2%","47.3","-10.7%"
"Henderson, TN","42","15.5%","-","25.8%","40.3","-0.1%"
"Henderson, KY","49","8.2%","-","22.7%","41.0","-2.2%"
"Henderson, NC","39","10.9%","55","26.8%","48.1","1.4%"
"Barnwell, SC","47","18.1%","-","15.6%","40.7","-6.1%"
"Long, GA","34","11.6%","44","16.7%","33.6","-1.0%"
"Tattnall, GA","52","19.4%","-","15.0%","38.1","-6.0%"
"Glascock, GA","33","26.2%","-","0.0%","43.2","-7.4%"
"Osceola, FL","28","13.7%","70","25.4%","37.3","16.8%"
"Flagler, FL","32","12.0%","74","31.8%","52.9","21.6%"
"Baker, GA","49","21.4%","-","0.0%","48.1","-24.8%"
"Baker, FL","32","9.9%","39","37.3%","38.1","1.1%"
"Citrus, FL","28","12.3%","70","35.1%","56.7","8.0%"
"Hendry, FL","29","10.8%","-","23.2%","35.7","6.1%"
"Morrow, OH","46","7.9%","54","25.9%","43.3","2.4%"
"Fleming, KY","35","14.7%","-","19.5%","41.0","1.3%"
"Woodford, IL","64","6.6%","44","13.6%","40.5","1.3%"
"Woodford, KY","52","7.2%","60","27.7%","42.3","4.6%"
"Bullitt, KY","44","5.1%","44","17.1%","42.2","6.6%"
"Miami, OH","51","5.8%","51","26.0%","41.5","7.1%"
"Boone, WV","61","22.3%","55","0.0%","45.0","-8.8%"
"Boone, KY","49","4.1%","68","24.0%","36.9","7.8%"
"Boone, IN","49","2.7%","61","25.8%","39.2","10.6%"
"Haywood, TN","40","13.1%","-","21.9%","43.1","-2.0%"
"Haywood, NC","47","24.1%","-","32.9%","47.8","-0.2%"
"Harlan, KY","58","19.3%","-","35.5%","41.2","-4.2%"
"Grainger, TN","45","18.5%","55","31.3%","45.7","6.4%"
"Claiborne, TN","50","12.8%","-","28.0%","42.5","0.5%"
"Van Buren, TN","44","15.5%","-","14.8%","47.2","8.6%"
"Telfair, GA","42","34.3%","-","18.1%","39.4","-34.5%"
"Hart, KY","43","18.7%","-","18.3%","40.6","-0.9%"
"Hart, GA","45","19.0%","-","18.7%","44.7","-0.6%"
"Wilkinson, GA","46","22.1%","-","17.3%","43.2","-3.9%"
"Banks, GA","37","7.9%","-","18.8%","42.4","-4.0%"
"Peach, GA","45","15.1%","65","26.6%","37.8","5.3%"
"Macon, TN","33","15.1%","51","30.9%","38.3","6.2%"
"Macon, IL","62","12.0%","47","36.8%","40.2","-1.6%"
"Macon, NC","55","33.1%","-","19.3%","50.1","5.9%"
"Macon, AL","45","26.0%","62","10.0%","37.8","-5.9%"
"Macon, GA","37","22.8%","-","0.0%","39.9","-15.6%"
"Upson, GA","38","16.1%","-","28.3%","41.4","1.8%"
"Clayton, GA","32","7.8%","66","29.6%","34.0","9.6%"
"Stewart, TN","36","22.7%","58","29.2%","44.6","-2.2%"
"Stewart, GA","51","16.8%","49","50.0%","36.7","-10.0%"
"Harris, GA","55","12.8%","36","18.5%","43.3","3.4%"
"Cleburne, AL","48","14.6%","-","13.3%","42.3","0.6%"
"Elmore, AL","49","10.2%","57","19.2%","40.2","9.1%"
"Chilton, AL","45","10.9%","58","15.9%","39.5","0.5%"
"Brooks, GA","52","18.3%","44","12.9%","43.0","-5.5%"
"Warrick, IN","44","7.3%","50","30.4%","41.0","6.3%"
"Christian, KY","41","12.3%","53","30.7%","28.6","-1.9%"
"Christian, IL","58","10.9%","-","24.0%","42.7","-2.7%"
"St. Clair, AL","45","11.4%","58","23.9%","41.2","7.3%"
"Henry, IN","54","11.9%","-","25.3%","42.1","-1.2%"
"Henry, GA","32","5.0%","69","30.2%","37.5","13.5%"
"Henry, KY","51","7.9%","38","19.0%","41.6","-1.2%"
"Henry, AL","49","26.9%","50","16.5%","45.0","0.6%"
"Henry, VA","57","19.4%","-","16.9%","47.9","-2.9%"
"Henry, TN","45","22.5%","-","18.4%","45.8","-0.8%"
"Calloway, KY","58","16.3%","-","21.8%","35.4","-3.6%"
"Tishomingo, MS","50","18.1%","-","16.6%","43.5","1.5%"
"Livingston, KY","56","24.1%","-","25.8%","45.7","-5.4%"
"Graves, KY","52","13.9%","-","23.5%","40.0","-2.2%"
"Hickman, TN","32","13.2%","55","38.5%","41.7","1.3%"
"Hickman, KY","64","24.0%","-","50.0%","46.4","-8.1%"
"Obion, TN","48","12.7%","-","25.2%","41.9","-1.8%"
"Benton, TN","43","18.9%","-","22.9%","47.5","-5.9%"
"Benton, IN","45","8.1%","56","20.0%","40.3","-3.6%"
"Benton, MS","47","26.1%","57","48.0%","43.9","-3.2%"
"Conecuh, AL","41","29.7%","-","21.0%","46.3","-9.7%"
"Winston, MS","41","14.1%","-","17.0%","42.3","-7.0%"
"Winston, AL","49","28.8%","-","18.8%","45.3","-3.9%"
"Noxubee, MS","58","19.9%","43","0.0%","39.9","-9.2%"
"Neshoba, MS","48","14.9%","-","8.6%","37.7","-3.2%"
"Yalobusha, MS","46","22.2%","67","20.5%","42.4","-0.1%"
"Essex, VA","52","24.0%","-","14.8%","47.1","-1.0%"
"Essex, NJ","58","4.4%","48","10.9%","37.8","5.8%"
"Bucks, PA","59","3.4%","45","14.7%","44.3","2.6%"
"Baltimore, MD","48","11.8%","41","24.3%","36.5","0.2%"
"Baltimore, MD","53","5.4%","53","22.1%","39.8","3.9%"
"Snyder, PA","50","9.2%","-","16.4%","40.5","-2.1%"
"King George, VA","55","6.2%","-","10.5%","38.3","5.4%"
"Fairfax, VA","32","1.7%","35","0.0%","37.3","4.6%"
"Fairfax, VA","50","3.7%","34","21.2%","39.5","3.7%"
"Frederick, VA","51","6.6%","64","21.4%","41.8","8.7%"
"Frederick, MD","52","3.5%","50","24.9%","38.8","12.4%"
"Spotsylvania, VA","50","2.7%","59","21.0%","39.3","18.4%"
"Manassas Park, VA","37","6.5%","65","0.0%","35.3","13.1%"
"Louisa, VA","45","15.7%","-","21.3%","44.8","4.8%"
"Carteret, NC","48","34.7%","45","19.6%","50.4","4.1%"
"Lancaster, PA","58","3.9%","48","14.5%","39.1","3.7%"
"Lancaster, SC","39","6.0%","58","34.2%","42.6","17.1%"
"Lancaster, VA","58","26.9%","-","18.5%","59.1","-1.6%"
"Portsmouth, VA","53","6.2%","47","41.5%","35.6","6.0%"
"Poquoson, VA","58","5.8%","61","36.3%","41.4","3.3%"
"King William, VA","50","6.4%","43","8.6%","40.5","10.6%"
"Petersburg, VA","52","17.5%","62","21.4%","35.8","10.0%"
"Dinwiddie, VA","55","12.3%","56","12.1%","43.4","1.5%"
"Nash, NC","39","10.8%","47","18.0%","42.0","2.2%"
"Vance, NC","42","17.2%","-","25.2%","39.9","-3.4%"
"Westmoreland, VA","47","28.9%","-","15.8%","48.0","3.7%"
"Westmoreland, PA","54","8.1%","48","23.0%","47.5","-0.8%"
"Staunton, VA","58","8.0%","63","25.9%","41.0","4.5%"
"Gilmer, GA","36","30.5%","-","29.8%","50.0","6.8%"
"Gilmer, WV","43","28.5%","-","26.6%","40.7","-11.9%"
"Wirt, WV","43","23.9%","-","26.6%","46.2","-17.5%"
"Tuscarawas, OH","54","4.3%","-","26.8%","42.5","1.6%"
"Meigs, TN","38","14.3%","57","31.2%","45.5","5.7%"
"Meigs, OH","43","16.8%","-","29.6%","43.8","-4.5%"
"Cabell, WV","62","13.6%","54","18.2%","39.5","-0.7%"
"Bladen, NC","47","23.8%","-","21.6%","44.8","-14.5%"
"Buckingham, VA","57","16.1%","-","8.0%","43.7","-2.2%"
"Granville, NC","36","9.7%","-","28.6%","42.5","2.1%"
"Chatham, GA","43","11.5%","67","29.8%","37.8","10.9%"
"Chatham, NC","47","7.8%","45","22.7%","47.9","11.6%"
"Danville, VA","50","16.4%","52","25.0%","40.8","0.7%"
"Guilford, NC","47","7.2%","63","22.4%","37.8","4.2%"
"Yadkin, NC","50","13.2%","59","27.2%","44.3","-1.3%"
"Summers, WV","55","26.5%","-","9.7%","50.4","-14.9%"
"Ashe, NC","57","29.8%","-","21.7%","49.8","-3.0%"
"Caldwell, KY","54","14.7%","-","25.8%","42.3","-3.0%"
"Caldwell, NC","43","8.7%","47","28.6%","45.8","-1.1%"
"Greenville, SC","42","7.1%","68","27.9%","38.5","13.9%"
"Wise, VA","54","15.6%","-","19.0%","42.1","-7.2%"
"Columbus, NC","45","18.3%","-","29.9%","42.4","-10.2%"
"Bamberg, SC","55","30.4%","-","0.0%","41.7","-14.1%"
"Newberry, SC","45","17.2%","-","27.1%","42.0","1.2%"
"Saluda, SC","43","20.3%","46","22.6%","43.0","0.3%"
"Candler, GA","50","10.1%","-","23.5%","41.0","-2.3%"
"Appling, GA","45","17.4%","-","27.9%","39.9","-0.1%"
"Bacon, GA","49","16.9%","-","20.0%","39.0","0.8%"
"Indian River, FL","34","16.8%","76","23.5%","55.9","8.1%"
"Lake, TN","41","19.0%","-","46.1%","41.6","-4.3%"
"Lake, FL","31","10.0%","69","32.9%","46.7","19.7%"
"Duval, FL","30","7.9%","60","39.2%","37.2","12.6%"
"Camden, NC","52","6.5%","44","19.2%","40.9","-0.0%"
"Camden, NJ","62","5.7%","38","15.1%","39.0","3.8%"
"Camden, GA","33","9.3%","46","20.7%","34.6","6.2%"
"Nassau, NY","58","4.5%","52","10.4%","42.4","1.3%"
"Nassau, FL","35","11.9%","62","27.4%","46.7","16.5%"
"Ross, OH","52","9.9%","-","27.6%","40.4","0.0%"
"Elliott, KY","63","25.3%","-","40.0%","44.4","-10.5%"
"Bracken, KY","37","15.1%","62","13.3%","42.0","-0.5%"
"Bourbon, KY","54","11.1%","34","15.3%","42.0","1.0%"
"Preble, OH","50","7.5%","-","28.3%","43.2","1.2%"
"Meade, KY","41","10.8%","56","36.0%","39.3","-2.5%"
"Transylvania, NC","53","23.8%","-","24.3%","51.9","-2.1%"
"Rabun, GA","49","41.4%","-","18.1%","49.9","-3.6%"
"Swain, NC","48","31.5%","-","14.2%","42.6","-4.7%"
"Whitley, KY","44","12.7%","-","34.0%","35.4","1.1%"
"Fentress, TN","42","16.4%","-","25.2%","47.0","2.3%"
"White, IN","52","23.6%","-","27.1%","42.5","-1.2%"
"White, IL","51","16.0%","-","25.0%","44.4","-5.9%"
"White, GA","39","24.5%","-","26.9%","45.4","-14.6%"
"White, TN","31","9.5%","62","36.9%","43.3","2.9%"
"Dade, GA","39","16.6%","38","28.9%","42.2","1.7%"
"Wilson, NC","40","8.0%","48","26.9%","41.2","3.3%"
"Wilson, TN","38","6.9%","53","24.6%","40.3","18.6%"
"Sumner, TN","34","5.5%","56","26.2%","39.4","15.6%"
"Moore, NC","45","9.4%","66","22.7%","44.0","6.8%"
"Moore, TN","34","11.9%","48","32.6%","46.2","-0.8%"
"Dodge, GA","45","22.4%","-","22.8%","42.4","-12.4%"
"Turner, GA","45","15.8%","-","14.8%","37.4","0.1%"
"Worth, GA","48","15.2%","67","9.7%","43.0","-0.3%"
"Crawford, IL","56","12.4%","-","20.3%","42.4","-2.5%"
"Crawford, IN","51","22.3%","-","11.1%","45.6","6.2%"
"Crawford, GA","48","15.8%","42","21.0%","46.0","-2.5%"
"Butts, GA","37","9.2%","46","28.5%","38.5","2.7%"
"Rockdale, GA","37","3.8%","62","23.9%","40.2","8.9%"
"Cobb, GA","40","5.5%","53","31.1%","37.9","4.6%"
"Meriwether, GA","43","15.2%","47","11.3%","43.6","-3.3%"
"Troup, GA","38","6.1%","56","24.3%","39.0","5.0%"
"Russell, VA","46","18.0%","-","35.2%","46.5","-5.6%"
"Russell, KY","38","28.9%","-","30.0%","42.2","0.7%"
"Russell, AL","55","13.6%","62","15.9%","37.2","0.3%"
"Quitman, GA","33","45.4%","-","13.7%","59.4","-15.6%"
"Heard, GA","31","9.4%","36","10.0%","41.2","-7.5%"
"DeKalb, GA","33","12.5%","57","35.4%","36.8","6.0%"
"DeKalb, TN","30","15.3%","-","38.5%","42.2","5.1%"
"DeKalb, AL","47","12.7%","-","22.1%","39.9","-1.5%"
"Coosa, AL","52","30.4%","46","28.5%","50.3","-7.8%"
"Levy, FL","39","15.1%","50","24.0%","47.1","3.7%"
"Clinch, GA","57","18.5%","-","0.0%","38.8","1.1%"
"Liberty, GA","44","12.5%","68","21.2%","28.4","0.7%"
"Liberty, FL","41","20.4%","-","20.0%","39.1","-10.5%"
"Walton, GA","40","3.6%","50","29.4%","39.8","12.5%"
"Walton, FL","33","44.3%","63","22.7%","43.6","19.2%"
"Parke, IN","48","21.5%","-","35.7%","42.5","-6.9%"
"Gibson, TN","42","10.6%","57","24.2%","39.8","-0.1%"
"Gibson, IN","48","10.8%","-","19.7%","40.8","-1.9%"
"Vermilion, IL","59","10.4%","35","17.6%","41.7","-5.1%"
"McLean, KY","51","13.4%","-","23.5%","43.2","-3.1%"
"McLean, IL","66","6.0%","53","13.2%","35.0","4.0%"
"Limestone, AL","30","3.9%","69","21.6%","40.6","23.9%"
"Todd, KY","43","14.0%","-","11.1%","36.3","-3.2%"
"Webster, GA","26","26.9%","-","0.0%","42.8","-18.4%"
"Webster, WV","57","35.6%","-","0.0%","47.1","-19.0%"
"Webster, MS","44","19.4%","58","15.3%","40.3","5.0%"
"Webster, KY","29","14.1%","-","17.3%","39.6","-3.9%"
"Houston, AL","50","11.3%","56","27.0%","39.9","5.8%"
"Houston, GA","47","8.2%","68","13.6%","36.5","11.9%"
"Houston, TN","34","19.4%","-","45.4%","44.2","-6.4%"
"Hardin, OH","56","9.3%","-","17.1%","35.3","-2.0%"
"Hardin, KY","41","5.5%","58","26.9%","38.0","3.2%"
"Hardin, IL","52","35.0%","-","0.0%","55.0","5.6%"
"Hardin, TN","48","28.2%","-","24.4%","45.4","7.0%"
"Jackson, OH","50","12.5%","-","26.6%","40.2","-1.9%"
"Jackson, GA","36","5.9%","59","25.5%","38.1","23.5%"
"Jackson, FL","41","15.0%","-","20.9%","42.9","-4.7%"
"Jackson, WV","59","12.1%","-","21.0%","43.3","-3.8%"
"Jackson, NC","56","33.6%","-","11.6%","38.9","1.1%"
"Jackson, MS","46","7.5%","65","24.9%","40.9","2.3%"
"Jackson, IN","43","7.7%","-","32.7%","38.8","1.3%"
"Jackson, KY","41","16.4%","-","31.5%","40.6","-9.1%"
"Jackson, TN","40","19.4%","68","25.0%","48.0","-0.7%"
"Jackson, AL","43","14.5%","-","20.4%","43.4","-1.2%"
"Jackson, IL","60","16.8%","46","13.2%","32.9","-4.2%"
