"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Phillips, KS","-7.6%","20.0%","100.0%","19.0%","-9.8%","-"
"Phillips, AR","94.5%","-5.2%","100.0%","18.6%","-16.4%","-"
"Warren, MO","8.5%","12.3%","-3.9%","13.8%","7.5%","3.7%"
"Warren, MS","12.2%","-11.1%","-63.6%","11.1%","-7.3%","-"
"Shelby, TN","26.1%","5.4%","-15.9%","28.4%","-2.7%","7.5%"
"Shelby, TX","41.3%","-9.0%","-44.4%","23.5%","-5.3%","-"
"Shelby, MO","-56.5%","11.1%","0.0%","0.0%","-0.8%","-"
"Miller, AR","-1.0%","5.8%","-12.5%","27.6%","-2.6%","7.4%"
"Miller, MO","4.8%","2.3%","8.6%","27.3%","0.1%","-"
"Decatur, KS","-26.6%","22.2%","100.0%","0.0%","-4.6%","-"
"Decatur, IA","-8.7%","23.5%","0.0%","11.1%","-4.6%","-"
"DeKalb, MO","28.5%","0.0%","16.6%","14.2%","-11.0%","3.7%"
"Clinton, MO","63.3%","5.4%","-13.6%","19.4%","3.8%","4.5%"
"Nodaway, MO","20.0%","-22.9%","-14.2%","10.2%","-7.0%","-"
"Miami, KS","12.5%","10.7%","-46.6%","29.5%","4.5%","3.3%"
"Anderson, TX","13.5%","3.8%","-25.0%","27.4%","-0.0%","6.9%"
"Anderson, KS","31.4%","2.2%","200.0%","35.2%","-0.4%","-"
"Jackson, KS","57.1%","7.3%","33.3%","11.7%","-0.3%","4.3%"
"Jackson, MO","22.2%","11.1%","3.5%","23.3%","2.6%","6.4%"
"Jackson, TX","38.5%","15.7%","-11.1%","20.0%","1.7%","-"
"Jackson, OK","28.9%","1.5%","8.6%","18.5%","-2.5%","15.5%"
"Jackson, LA","119.0%","12.2%","-75.0%","13.7%","-6.1%","-"
"Jackson, AR","36.1%","3.2%","-50.0%","20.5%","-2.6%","-"
"Cleburne, AR","77.7%","12.2%","-2.7%","19.2%","-0.7%","-"
"Pulaski, AR","32.4%","0.8%","-13.6%","25.6%","1.8%","7.1%"
"Pulaski, MO","33.3%","18.9%","-31.8%","19.2%","2.3%","5.1%"
"Van Buren, IA","36.8%","-7.1%","-75.0%","20.0%","0.1%","-"
"Van Buren, AR","57.6%","11.8%","4.3%","19.4%","-4.4%","-"
"Saline, KS","43.8%","-1.6%","1,240.0%","14.3%","-2.1%","6.6%"
"Saline, MO","12.9%","-3.0%","10.0%","20.0%","0.3%","-"
"Saline, NE","161.5%","23.6%","-75.0%","21.4%","2.4%","-"
"Saline, AR","44.2%","-1.5%","4.0%","24.5%","6.7%","5.2%"
"Cherokee, TX","44.9%","15.7%","34.6%","22.5%","-1.4%","5.6%"
"Cherokee, OK","-9.0%","-1.1%","0.0%","28.8%","-2.0%","5.2%"
"Cherokee, KS","1.3%","-0.6%","0.0%","23.7%","-5.3%","9.9%"
"Ottawa, KS","73.3%","-7.1%","600.0%","22.2%","-2.0%","5.1%"
"Ottawa, OK","78.3%","4.9%","-33.3%","18.6%","-3.8%","-"
"Mayes, OK","14.4%","8.3%","-19.3%","16.2%","-3.8%","-"
"Ashley, AR","-6.0%","3.3%","80.0%","19.0%","-8.8%","-"
"Cleveland, OK","27.7%","3.5%","4.8%","25.7%","6.9%","6.0%"
"Cleveland, AR","62.5%","0.0%","0.0%","25.0%","-8.9%","4.9%"
"Rapides, LA","-11.4%","0.7%","-13.6%","21.4%","-3.2%","8.1%"
"Lincoln, AR","47.3%","-6.6%","25.0%","22.8%","-5.3%","-"
"Lincoln, MO","13.4%","4.8%","-10.1%","19.7%","10.9%","4.5%"
"Lincoln, KS","-17.6%","21.7%","0.0%","0.0%","-5.5%","-"
"Lincoln, CO","43.4%","83.3%","25.0%","9.5%","0.2%","-"
"Lincoln, NM","84.2%","12.2%","-29.5%","19.0%","3.8%","-"
"Lincoln, OK","50.6%","-3.1%","16.6%","29.5%","-2.6%","5.7%"
"Lincoln, MS","16.3%","5.5%","-25.0%","15.5%","1.1%","-"
"Lincoln, LA","25.6%","18.3%","-20.6%","20.2%","1.6%","6.5%"
"Angelina, TX","28.7%","3.6%","4.4%","23.2%","0.2%","7.6%"
"Iberia, LA","-0.6%","-6.1%","0.0%","28.1%","-4.6%","-"
"Allen, KS","7.6%","2.9%","-44.4%","32.6%","-1.1%","-"
"Allen, LA","-6.0%","-11.4%","0.0%","10.2%","-12.1%","-"
"Jasper, MO","21.7%","14.2%","0.6%","18.7%","3.6%","6.1%"
"Jasper, TX","14.1%","4.5%","-24.1%","22.7%","-7.5%","-"
"Polk, MO","36.7%","8.5%","-8.5%","25.0%","1.7%","4.4%"
"Polk, AR","6.9%","6.9%","-41.1%","17.1%","-4.0%","-"
"Polk, TX","7.9%","8.4%","12.7%","25.1%","8.2%","8.8%"
"Fremont, CO","61.9%","12.3%","36.3%","28.9%","5.0%","4.5%"
"Fremont, IA","8.1%","-4.7%","100.0%","25.0%","-5.7%","-"
"Coffey, KS","100.0%","-3.6%","0.0%","10.0%","0.0%","-"
"Chase, NE","-4.7%","37.9%","-","19.0%","-2.5%","-"
"Chase, KS","300.0%","-11.1%","0.0%","0.0%","-2.4%","4.2%"
"Geary, KS","27.5%","38.0%","-12.0%","20.7%","2.8%","5.3%"
"Marion, MS","-21.0%","-4.2%","-50.0%","11.2%","-3.5%","-"
"Marion, TX","13.0%","26.2%","300.0%","37.8%","-4.4%","-"
"Marion, AR","33.3%","7.6%","-53.5%","25.1%","3.8%","-"
"Marion, MO","43.9%","8.2%","37.5%","20.2%","-0.6%","-"
"Marion, KS","68.4%","1.5%","-12.5%","18.1%","-1.9%","-"
"Clay, NE","53.3%","-14.8%","200.0%","11.4%","-2.3%","-"
"Clay, AR","17.0%","-3.3%","10.0%","18.6%","-4.3%","-"
"Clay, MO","21.6%","9.8%","5.4%","15.7%","5.4%","5.0%"
"Clay, TX","16.8%","4.0%","220.0%","26.2%","0.1%","5.0%"
"Clay, KS","62.9%","7.3%","-60.0%","22.2%","-0.8%","-"
"Fillmore, NE","18.1%","0.0%","-33.3%","0.0%","-0.4%","-"
"Thayer, NE","81.8%","53.8%","0.0%","0.0%","-3.1%","-"
"Nuckolls, NE","21.7%","12.0%","300.0%","0.0%","-4.3%","-"
"Stafford, KS","-37.5%","5.2%","-50.0%","0.0%","-4.9%","-"
"Osborne, KS","8.3%","18.1%","100.0%","0.0%","-3.6%","-"
"Pawnee, OK","27.2%","-3.4%","20.0%","24.6%","-4.4%","7.9%"
"Pawnee, NE","0.0%","-33.3%","-66.6%","0.0%","-5.1%","-"
"Pawnee, KS","162.5%","21.7%","50.0%","15.6%","-7.2%","-"
"Greenwood, KS","10.0%","4.7%","-50.0%","26.6%","-3.2%","-"
"Hughes, OK","10.7%","6.9%","44.4%","17.3%","-0.3%","-"
"Logan, KS","15.7%","37.5%","100.0%","0.0%","-3.2%","-"
"Logan, AR","8.7%","14.4%","-57.8%","19.7%","-2.3%","-"
"Logan, OK","37.3%","10.4%","24.6%","26.3%","10.5%","3.8%"
"Hopkins, TX","27.7%","20.6%","-28.0%","33.1%","3.0%","-"
"Madison, IL","28.4%","10.6%","-11.0%","22.2%","-0.6%","6.7%"
"Madison, MS","14.8%","0.3%","-16.0%","20.8%","6.5%","6.1%"
"Madison, AR","9.4%","0.7%","25.0%","17.9%","5.9%","4.2%"
"Madison, MO","35.0%","35.0%","66.6%","21.6%","3.7%","-"
"Madison, TX","7.2%","4.2%","0.0%","18.1%","-3.9%","-"
"Atoka, OK","-10.3%","-5.4%","100.0%","11.1%","2.7%","-"
"Fannin, TX","25.1%","5.2%","-20.5%","27.5%","6.8%","5.1%"
"Johnston, OK","5.5%","5.5%","-33.3%","36.3%","-6.4%","-"
"Johnson, KS","1.9%","8.9%","6.8%","11.9%","4.1%","3.7%"
"Johnson, AR","25.1%","-2.9%","31.2%","21.7%","-1.3%","-"
"Johnson, NE","144.4%","0.0%","-60.0%","0.0%","1.2%","-"
"Johnson, MO","16.1%","-3.7%","12.2%","25.0%","1.1%","4.1%"
"Johnson, TX","10.0%","1.6%","5.0%","32.9%","18.4%","4.1%"
"Jefferson, NE","74.3%","11.4%","50.0%","16.6%","-0.4%","-"
"Jefferson, CO","79.8%","21.5%","8.1%","39.9%","-0.6%","3.1%"
"Jefferson, MS","75.0%","-12.5%","0.0%","44.4%","-2.9%","-"
"Jefferson, KS","51.5%","1.0%","5.8%","23.5%","-2.6%","3.6%"
"Jefferson, LA","16.5%","3.9%","-14.6%","25.5%","-2.8%","7.6%"
"Jefferson, TX","7.3%","2.2%","-10.3%","26.6%","-1.3%","8.6%"
"Jefferson, MO","-19.0%","-0.1%","-2.9%","18.3%","3.0%","4.2%"
"Jefferson, AR","44.2%","2.5%","16.2%","28.1%","-6.5%","13.3%"
"Jefferson, OK","-39.1%","12.0%","0.0%","20.0%","-13.5%","-"
"Stephens, OK","33.0%","1.0%","-45.8%","20.3%","-1.5%","6.2%"
"Stephens, TX","61.1%","11.3%","33.3%","6.5%","-1.0%","-"
"Coleman, TX","36.5%","-2.0%","33.3%","4.6%","-7.4%","-"
"Walker, TX","29.9%","2.5%","14.0%","22.0%","12.1%","5.0%"
"Waller, TX","65.6%","1.1%","-24.6%","21.5%","18.9%","3.2%"
"Robertson, TX","32.1%","4.3%","27.2%","14.9%","0.4%","4.0%"
"Calhoun, IL","10.3%","18.5%","200.0%","19.0%","-9.3%","2.5%"
"Calhoun, AR","-8.3%","37.5%","0.0%","23.5%","-9.3%","-"
"Calhoun, TX","21.2%","0.0%","-33.3%","20.4%","-8.6%","-"
"Brooks, TX","-22.2%","27.2%","-33.3%","50.0%","-2.6%","-"
"Wichita, TX","25.4%","2.5%","-19.8%","31.2%","-1.4%","7.5%"
"Wichita, KS","-75.0%","-50.0%","0.0%","0.0%","-1.3%","-"
"Childress, TX","-30.4%","-30.4%","100.0%","0.0%","-6.2%","-"
"Collingsworth, TX","33.3%","6.6%","-66.6%","0.0%","-8.7%","-"
"Ochiltree, TX","20.0%","-16.9%","-50.0%","19.0%","-4.7%","-"
"Seward, KS","105.2%","0.0%","57.1%","6.7%","-4.6%","-"
"Stanton, KS","-75.0%","-50.0%","0.0%","0.0%","-2.1%","-"
"Sherman, KS","28.5%","5.8%","-50.0%","11.1%","-0.7%","-"
"Sherman, TX","0.0%","-4.7%","0.0%","0.0%","-20.4%","-"
"Foard, TX","-80.0%","0.0%","-","0.0%","-23.3%","-"
"Jones, TX","9.6%","-9.5%","66.6%","14.1%","0.3%","7.8%"
"Fisher, TX","112.5%","-2.8%","0.0%","0.0%","-5.7%","-"
"Andrews, TX","-21.7%","-4.2%","36.3%","35.0%","3.9%","-"
"Uvalde, TX","46.1%","7.6%","-61.9%","11.9%","-8.1%","-"
"Summit, CO","35.0%","19.4%","-7.4%","10.5%","1.4%","4.0%"
"Los Alamos, NM","264.2%","-3.7%","-25.0%","34.0%","5.5%","4.8%"
"Valencia, NM","4.7%","6.9%","-","20.7%","3.5%","4.9%"
"Reeves, TX","56.0%","-6.0%","125.0%","30.7%","-12.6%","-"
"Uintah, UT","26.9%","11.5%","68.9%","22.2%","0.3%","5.0%"
"Salt Lake, UT","36.2%","11.0%","-7.1%","36.8%","2.8%","3.3%"
"La Plata, CO","29.2%","25.8%","-1.8%","17.5%","1.7%","3.5%"
"Hidalgo, TX","30.2%","1.3%","3.1%","18.0%","3.7%","6.3%"
"Greenlee, AZ","-40.0%","-60.0%","-66.6%","50.0%","-0.5%","-"
"Graham, KS","38.4%","5.8%","100.0%","0.0%","-5.4%","-"
"Graham, AZ","56.4%","8.2%","12.5%","25.2%","2.5%","8.9%"
"Davis, IA","43.7%","-20.6%","0.0%","11.1%","2.7%","-"
"Burlington, NJ","45.8%","11.7%","-8.7%","17.3%","5.3%","4.5%"
"Cape May, NJ","12.8%","2.2%","4.7%","18.4%","2.2%","2.9%"
"Lebanon, PA","45.8%","6.9%","9.5%","9.1%","2.0%","4.1%"
"Charles, MD","80.1%","13.1%","-10.1%","20.6%","6.4%","5.1%"
"Stafford, VA","119.7%","14.5%","-26.3%","19.1%","10.3%","5.1%"
"Loudoun, VA","108.8%","22.6%","5.8%","24.6%","7.2%","3.5%"
"Mathews, VA","-4.3%","23.9%","0.0%","12.3%","-3.1%","4.6%"
"Chowan, NC","19.7%","4.9%","23.5%","13.7%","-2.7%","-"
"Prince George, VA","11.8%","14.6%","-23.0%","16.3%","13.1%","5.6%"
"Hopewell, VA","32.4%","32.4%","-17.6%","27.5%","2.3%","6.3%"
"Hampshire, WV","43.8%","24.2%","-6.2%","16.6%","-0.0%","5.2%"
"Augusta, VA","25.0%","4.8%","21.2%","16.2%","3.6%","4.6%"
"Harrisonburg, VA","-12.1%","41.4%","-12.5%","9.8%","-3.5%","5.8%"
"Upshur, WV","16.9%","18.7%","80.0%","17.9%","-3.4%","7.3%"
"Wetzel, WV","46.6%","4.7%","166.6%","18.1%","-8.8%","-"
"Muskingum, OH","92.0%","10.0%","24.2%","29.9%","0.1%","5.8%"
"Harnett, NC","45.9%","8.4%","3.3%","20.8%","5.4%","-"
"Lynchburg, VA","18.3%","3.3%","-0.8%","17.4%","-3.1%","7.0%"
"Scotland, NC","82.8%","10.3%","29.4%","21.8%","-2.5%","-"
"Roanoke, VA","44.9%","13.0%","2.0%","22.4%","3.1%","5.1%"
"Roanoke, VA","66.1%","26.3%","14.1%","38.5%","-2.7%","7.7%"
"Surry, VA","11.4%","61.9%","150.0%","11.1%","-0.7%","4.0%"
"Surry, NC","41.3%","7.5%","-27.2%","32.6%","-0.6%","-"
"Smyth, VA","102.5%","22.4%","0.0%","26.6%","-4.7%","-"
"Watauga, NC","32.9%","22.3%","-24.3%","18.8%","0.9%","4.7%"
"Avery, NC","38.5%","23.8%","-16.1%","19.5%","0.8%","-"
"Charleston, SC","42.1%","3.4%","1.5%","34.4%","4.5%","3.8%"
"Marlboro, SC","12.9%","-4.1%","12.5%","10.5%","-3.1%","-"
"Bulloch, GA","32.7%","9.5%","2.8%","18.8%","9.0%","6.0%"
"Edgefield, SC","25.3%","-4.8%","21.4%","14.6%","-0.9%","5.1%"
"Pierce, GA","58.4%","3.9%","57.1%","13.7%","4.3%","6.5%"
"Manatee, FL","34.6%","-1.2%","-4.6%","33.3%","11.7%","5.7%"
"Hernando, FL","26.6%","4.5%","9.2%","32.9%","11.4%","6.1%"
"Okeechobee, FL","62.7%","0.8%","-21.7%","25.8%","-0.7%","-"
"Scioto, OH","6.4%","5.8%","-62.5%","21.5%","-4.6%","-"
"Pickaway, OH","35.2%","10.9%","1.4%","26.1%","3.4%","3.6%"
"Dearborn, IN","25.0%","5.6%","37.8%","36.7%","2.6%","4.0%"
"Oldham, KY","35.9%","31.8%","-11.5%","18.3%","5.5%","2.9%"
"Bartholomew, IN","38.1%","7.0%","1.3%","27.4%","1.5%","5.4%"
"Breathitt, KY","-20.0%","-25.9%","100.0%","28.5%","2.4%","-"
"Leslie, KY","-60.0%","0.0%","200.0%","0.0%","-2.0%","-"
"Rockcastle, KY","5.0%","20.0%","42.8%","27.5%","-4.0%","6.5%"
"Murray, GA","54.9%","13.1%","15.3%","21.8%","1.8%","6.5%"
"Gordon, GA","43.4%","0.2%","9.2%","23.9%","2.7%","6.3%"
"Whitfield, GA","19.9%","-2.2%","22.0%","18.2%","-0.3%","7.3%"
"Catoosa, GA","52.1%","1.7%","-","34.1%","2.2%","4.5%"
"Green, KY","27.5%","-6.3%","-33.3%","16.0%","2.3%","-"
"Barren, KY","53.7%","3.4%","3.2%","23.8%","2.2%","4.3%"
"Edmonson, KY","11.5%","1.7%","12.5%","18.6%","0.9%","6.2%"
"Wheeler, GA","22.2%","15.7%","100.0%","36.3%","-6.3%","-"
"Atkinson, GA","-42.8%","14.2%","0.0%","80.0%","-0.0%","-"
"Lanier, GA","14.8%","-5.2%","-41.1%","17.3%","-2.6%","6.5%"
"Twiggs, GA","0.0%","-16.1%","0.0%","22.2%","-5.0%","9.0%"
"Barrow, GA","32.8%","-6.0%","17.8%","21.6%","14.8%","4.3%"
"Hall, GA","44.4%","1.7%","12.0%","31.8%","7.4%","4.9%"
"Dougherty, GA","4.7%","-2.6%","87.5%","14.7%","-9.4%","10.4%"
"Schley, GA","75.0%","40.0%","0.0%","0.0%","-12.8%","-"
"Terrell, GA","100.0%","41.4%","100.0%","23.5%","0.9%","9.8%"
"Chambers, AL","-2.5%","-3.1%","-18.1%","36.0%","1.8%","8.5%"
"Crenshaw, AL","-32.0%","-7.6%","-75.0%","40.0%","-5.2%","-"
"Blount, TN","49.1%","-1.3%","3.6%","31.5%","7.6%","5.6%"
"Blount, AL","33.3%","8.1%","-27.9%","25.3%","2.8%","4.6%"
"Bay, FL","19.5%","5.7%","-9.3%","26.6%","2.9%","5.6%"
"Vanderburgh, IN","12.2%","7.9%","1.9%","26.9%","-0.6%","5.7%"
"Sangamon, IL","-9.0%","5.5%","-11.2%","19.1%","-0.9%","5.3%"
"Bond, IL","7.1%","0.0%","12.5%","19.0%","-0.5%","5.8%"
"Menard, IL","64.7%","-17.6%","-33.3%","10.5%","-1.6%","3.8%"
"McCracken, KY","51.9%","7.0%","5.8%","26.1%","3.1%","7.0%"
"Crockett, TN","46.2%","1.0%","12.5%","25.3%","-3.8%","7.7%"
"New Madrid, MO","32.1%","15.6%","16.6%","7.1%","-9.9%","-"
"St. Bernard, LA","0.7%","-1.5%","-24.2%","26.4%","-3.3%","8.5%"
"Stone, MS","13.3%","-1.4%","-18.1%","16.3%","0.7%","7.1%"
"Ocean, NJ","38.1%","27.3%","-3.6%","19.6%","9.5%","6.1%"
"Berks, PA","28.6%","16.9%","5.2%","13.5%","3.0%","4.6%"
"York, PA","19.2%","5.3%","-4.6%","15.7%","3.6%","3.9%"
"York, SC","47.7%","2.9%","4.0%","33.8%","8.8%","4.6%"
"York, VA","16.4%","19.3%","-4.5%","14.9%","4.5%","5.5%"
"James City, VA","79.4%","13.1%","-13.6%","21.8%","8.1%","4.5%"
"Bertie, NC","24.1%","-2.7%","-50.0%","23.0%","-11.0%","-"
"Onslow, NC","13.9%","7.4%","-4.1%","19.5%","8.0%","6.1%"
"Lunenburg, VA","66.6%","38.8%","0.0%","21.6%","-2.3%","-"
"Pender, NC","68.9%","11.9%","3.0%","20.9%","16.0%","3.1%"
"Albemarle, VA","50.4%","9.4%","-2.9%","17.1%","6.4%","4.0%"
"Mineral, WV","30.5%","20.5%","-9.0%","28.9%","-1.3%","5.8%"
"Indiana, PA","7.6%","5.5%","-18.3%","21.4%","-1.6%","6.7%"
"Garrett, MD","36.7%","12.8%","6.2%","18.3%","-2.2%","-"
"Preston, WV","-15.0%","2.2%","-40.0%","9.1%","1.0%","9.1%"
"Pocahontas, WV","2.0%","5.0%","0.0%","8.2%","-7.9%","-"
"Beaver, PA","15.3%","16.2%","-2.0%","20.7%","0.5%","6.6%"
"Kanawha, WV","8.7%","11.8%","13.8%","13.2%","-3.1%","7.8%"
"Johnston, NC","36.4%","4.1%","0.8%","26.4%","19.3%","4.6%"
"Sampson, NC","28.0%","7.5%","50.0%","17.0%","-6.7%","-"
"Wake, NC","76.1%","15.5%","-9.6%","32.0%","8.9%","3.8%"
"Pittsylvania, VA","51.5%","14.9%","17.8%","16.3%","-2.4%","6.9%"
"Rockbridge, VA","26.3%","6.1%","-11.4%","10.0%","0.3%","4.3%"
"Alamance, NC","46.2%","5.7%","-9.9%","20.3%","7.6%","5.8%"
"Buena Vista, VA","24.1%","9.0%","-50.0%","38.0%","3.3%","5.7%"
"Rockingham, VA","-0.3%","-0.6%","5.3%","10.7%","6.5%","4.9%"
"Rockingham, NC","54.4%","3.8%","6.2%","21.8%","2.0%","6.5%"
"Martinsville, VA","-","0.0%","-36.0%","0.0%","3.6%","11.6%"
"Craig, VA","50.0%","20.0%","-71.4%","22.2%","-4.5%","5.0%"
"Stokes, NC","67.6%","-5.3%","73.0%","21.1%","-2.2%","6.0%"
"Cabarrus, NC","60.0%","2.8%","-1.7%","30.7%","13.5%","5.0%"
"Wythe, VA","9.5%","-5.9%","-22.2%","16.0%","-2.4%","-"
"Spartanburg, SC","22.2%","9.1%","33.6%","28.5%","13.6%","6.4%"
"Yancey, NC","57.6%","24.8%","-47.3%","24.6%","5.7%","-"
"Horry, SC","20.6%","2.6%","-9.2%","27.9%","15.4%","6.9%"
"Dillon, SC","29.5%","2.2%","-60.0%","10.9%","-9.1%","-"
"Darlington, SC","10.9%","-1.0%","-12.5%","14.3%","-6.0%","11.8%"
"Evans, GA","51.5%","28.2%","-50.0%","12.5%","0.1%","8.4%"
"Emanuel, GA","100.0%","34.3%","-10.0%","15.6%","2.0%","-"
"McDuffie, GA","0.9%","0.9%","28.5%","8.7%","0.8%","6.6%"
"Pasco, FL","22.2%","0.7%","-7.1%","35.4%","17.3%","6.3%"
"Palm Beach, FL","27.7%","-1.9%","-13.4%","26.5%","3.2%","6.6%"
"Glades, FL","38.6%","4.4%","-33.3%","15.7%","-7.7%","7.4%"
"Greenup, KY","24.2%","17.4%","-25.0%","19.4%","-0.3%","7.7%"
"Jay, IN","69.6%","16.6%","-50.0%","19.5%","-3.3%","-"
"Wabash, IL","31.7%","5.8%","-33.3%","21.0%","-3.2%","-"
"Hendricks, IN","33.8%","19.4%","20.0%","29.8%","11.6%","6.1%"
"Magoffin, KY","192.3%","40.7%","0.0%","18.1%","-9.2%","-"
"Cocke, TN","50.2%","5.9%","54.1%","33.4%","3.3%","-"
"Owsley, KY","71.4%","50.0%","200.0%","0.0%","-9.9%","-"
"Boyle, KY","52.0%","6.2%","-3.4%","28.5%","2.6%","6.0%"
"Grundy, TN","22.4%","5.1%","42.8%","23.8%","2.5%","-"
"Trousdale, TN","57.1%","-6.3%","0.0%","25.3%","23.3%","3.1%"
"Ben Hill, GA","73.0%","8.4%","-46.6%","32.0%","-0.0%","-"
"Suwannee, FL","24.2%","0.0%","-65.3%","22.8%","1.2%","-"
"Leon, FL","-8.3%","5.5%","-11.0%","21.8%","1.5%","5.9%"
"Wakulla, FL","-21.8%","4.1%","21.0%","15.4%","8.5%","5.4%"
"Seminole, FL","46.1%","3.1%","-2.9%","35.1%","3.5%","5.5%"
"Seminole, GA","8.1%","-2.4%","0.0%","8.6%","8.0%","-"
"Vigo, IN","-3.4%","4.0%","-40.0%","23.8%","-1.1%","7.0%"
"Edwards, IL","66.6%","66.6%","0.0%","40.0%","-5.9%","-"
"Maury, TN","47.4%","8.8%","-2.5%","25.8%","17.4%","4.0%"
"Muhlenberg, KY","52.0%","8.9%","0.0%","29.4%","-1.1%","-"
"Colbert, AL","41.2%","3.2%","39.2%","24.7%","5.7%","7.9%"
"Gallatin, KY","140.0%","14.2%","57.1%","21.0%","0.5%","5.8%"
"Gallatin, IL","0.0%","0.0%","0.0%","0.0%","-5.8%","-"
"Pope, IL","52.9%","30.0%","50.0%","0.0%","-11.5%","-"
"Tuscaloosa, AL","4.0%","-3.9%","8.5%","14.8%","13.6%","8.2%"
"Oktibbeha, MS","16.2%","12.6%","200.0%","16.3%","4.0%","6.4%"
"Pontotoc, MS","21.4%","-3.7%","-45.0%","21.6%","-0.0%","-"
"Leake, MS","75.0%","-2.3%","200.0%","12.5%","-6.9%","-"
"Jefferson Davis, MS","182.3%","0.0%","-66.6%","27.5%","-2.7%","-"
"Baldwin, GA","27.4%","1.0%","13.0%","27.2%","-3.5%","6.9%"
"Baldwin, AL","24.2%","4.4%","12.6%","22.4%","16.2%","5.0%"
"Queens, NY","3.8%","5.2%","1.3%","9.0%","-1.1%","5.3%"
"New York, NY","2.7%","8.8%","-11.2%","11.5%","-1.9%","3.4%"
"Dauphin, PA","36.9%","12.6%","6.0%","20.2%","4.3%","5.7%"
"District of Columbia, DC","33.3%","8.3%","-10.9%","23.5%","-3.3%","4.1%"
"Juniata, PA","50.0%","29.7%","50.0%","10.0%","-4.6%","-"
"Arlington, VA","88.3%","11.9%","-12.2%","25.4%","-1.4%","3.1%"
"Fredericksburg, VA","29.6%","7.2%","-14.2%","17.2%","-0.3%","4.4%"
"Huntingdon, PA","-12.0%","17.0%","-","22.7%","-3.4%","-"
"Pasquotank, NC","17.4%","0.3%","-9.6%","17.1%","3.4%","6.9%"
"Norfolk, VA","15.6%","1.6%","9.7%","34.3%","-5.3%","5.6%"
"Pamlico, NC","22.0%","6.5%","-42.8%","25.8%","-3.3%","5.8%"
"New Kent, VA","59.7%","22.6%","-2.2%","18.1%","14.3%","4.8%"
"Southampton, VA","52.0%","8.5%","15.7%","40.0%","0.2%","-"
"Edgecombe, NC","32.2%","-1.9%","-13.6%","18.6%","-8.5%","9.8%"
"Colonial Heights, VA","-13.2%","-14.8%","-31.8%","13.5%","3.5%","4.9%"
"Emporia, VA","-29.7%","-7.1%","0.0%","0.0%","4.6%","-"
"Powhatan, VA","34.5%","16.1%","-2.8%","18.6%","8.7%","2.6%"
"Fluvanna, VA","52.1%","27.2%","-4.7%","17.6%","5.6%","4.5%"
"Brunswick, VA","4.9%","10.3%","400.0%","18.6%","-4.7%","-"
"Brunswick, NC","32.7%","6.7%","-2.0%","27.1%","16.9%","4.5%"
"Allegheny, PA","19.8%","9.1%","-2.6%","21.1%","0.5%","7.1%"
"Tyler, WV","66.6%","-4.7%","100.0%","0.0%","-8.1%","-"
"Mecklenburg, NC","69.8%","11.7%","5.0%","29.6%","6.3%","5.1%"
"Mecklenburg, VA","30.4%","9.5%","14.2%","15.5%","-1.3%","7.5%"
"Appomattox, VA","20.0%","-6.2%","0.0%","21.6%","5.4%","5.2%"
"Robeson, NC","37.0%","5.2%","-2.1%","20.3%","-10.9%","9.6%"
"Amherst, VA","13.7%","-1.5%","-6.0%","20.6%","-1.5%","5.4%"
"Anson, NC","23.2%","-10.1%","-20.0%","23.5%","-13.4%","8.7%"
"Iredell, NC","33.3%","8.9%","-3.6%","30.1%","11.9%","4.2%"
"Alleghany, VA","52.0%","8.5%","-10.5%","35.4%","-2.1%","-"
"Alleghany, NC","48.7%","14.4%","-18.1%","14.8%","0.9%","-"
"Alexander, IL","30.0%","-13.3%","-75.0%","0.0%","-22.8%","11.7%"
"Alexander, NC","23.2%","12.2%","50.0%","32.6%","-1.8%","5.9%"
"Wyoming, WV","14.2%","-3.0%","-50.0%","0.0%","-3.5%","-"
"Buncombe, NC","93.8%","23.2%","-7.8%","36.2%","6.4%","4.7%"
"Orangeburg, SC","46.8%","2.5%","-29.6%","20.3%","-4.7%","9.9%"
"McIntosh, GA","33.6%","7.5%","40.0%","16.2%","-20.7%","4.9%"
"Screven, GA","62.5%","6.1%","75.0%","25.0%","0.4%","-"
"Jenkins, GA","2.5%","-13.0%","0.0%","28.5%","-1.7%","-"
"Broward, FL","40.2%","0.0%","-17.4%","24.3%","0.5%","7.0%"
"Miami-Dade, FL","46.4%","1.2%","-22.5%","18.8%","-2.7%","5.4%"
"Carter, TN","72.6%","8.9%","18.3%","34.1%","0.1%","6.0%"
"Carter, KY","16.9%","10.7%","-7.6%","17.3%","-2.8%","6.4%"
"Lewis, WV","-24.1%","-2.2%","0.0%","20.0%","3.2%","-"
"Lewis, TN","4.5%","4.5%","125.0%","32.8%","6.9%","-"
"Lewis, KY","27.2%","0.0%","-83.3%","16.0%","-3.4%","-"
"Menifee, KY","41.8%","20.0%","-33.3%","16.3%","-3.1%","-"
"Bath, VA","94.1%","20.0%","200.0%","23.5%","-6.1%","-"
"Bath, KY","65.9%","2.6%","-50.0%","25.0%","4.4%","-"
"Robertson, TN","67.4%","14.8%","-1.8%","26.1%","8.1%","4.5%"
"Robertson, KY","-55.5%","-42.8%","100.0%","0.0%","4.4%","-"
"Darke, OH","23.2%","11.5%","0.0%","28.7%","-0.1%","-"
