"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Clay, KY","79","15.3%","$133,982","3.3%","33.3%","20,105"
"Clay, IN","66","88.4%","$171,333","5.2%","13.2%","26,431"
"Clay, IL","64","64.1%","$105,440","4.9%","-24.7%","13,173"
"Clay, MS","72","-20.4%","$151,229","4.2%","0.5%","18,462"
"Clay, WV","129","173.0%","$116,948","3.8%","-16.5%","7,946"
"Clay, NC","62","-13.0%","$352,128","3.2%","-5.9%","11,391"
"Clay, TN","74","-13.9%","$204,134","8.3%","49.0%","7,621"
"Davidson, NC","40","-24.1%","$262,076","3.2%","16.2%","174,804"
"Davidson, TN","53","60.6%","$447,214","-0.2%","81.6%","712,334"
"Logan, WV","70","79.4%","$94,959","6.9%","-43.5%","31,826"
"Logan, IL","43","-15.0%","$132,623","3.0%","-58.0%","27,870"
"Logan, OH","45","9.7%","$246,041","6.0%","-0.5%","46,140"
"Logan, KY","49","21.2%","$214,193","6.6%","87.4%","27,731"
"Johnson, TN","79","67.2%","$238,207","4.8%","8.9%","18,073"
"Johnson, IN","39","21.8%","$307,656","1.9%","26.5%","167,819"
"Johnson, IL","60","32.9%","$192,191","6.4%","5.5%","13,350"
"Johnson, KY","57","-12.6%","$144,131","6.8%","-34.0%","22,464"
"Johnson, GA","79","-18.1%","$127,170","6.0%","77.7%","9,192"
"Laurens, SC","53","20.4%","$183,978","-7.3%","81.4%","68,873"
"Laurens, GA","65","15.0%","$180,037","0.2%","7.2%","49,619"
"Madison, IN","36","-26.5%","$182,273","4.4%","29.6%","132,504"
"Madison, AL","57","26.6%","$311,687","-0.8%","66.3%","412,600"
"Madison, TN","61","57.4%","$228,738","1.5%","57.9%","99,193"
"Madison, NC","72","3.9%","$389,929","3.4%","20.2%","21,640"
"Madison, KY","52","29.1%","$275,446","7.2%","50.5%","96,735"
"Madison, OH","29","14.0%","$307,345","2.6%","28.7%","44,126"
"Madison, GA","46","-3.6%","$320,872","4.5%","44.4%","30,914"
"Franklin, KY","39","-3.1%","$244,313","12.3%","2.1%","51,563"
"Franklin, AL","72","5.8%","$178,875","1.7%","-1.4%","31,978"
"Franklin, TN","59","11.3%","$311,757","3.9%","62.6%","43,478"
"Franklin, IN","40","-48.7%","$286,169","4.2%","30.0%","22,929"
"Franklin, IL","57","-5.0%","$102,404","-3.0%","-29.2%","37,541"
"Franklin, VA","47","17.5%","$348,102","5.7%","-14.6%","54,958"
"Franklin, OH","33","50.0%","$300,830","2.1%","40.4%","1,326,063"
"Franklin, GA","58","75.7%","$285,628","3.1%","40.0%","23,840"
"Oconee, SC","52","-6.3%","$282,154","4.0%","19.6%","81,221"
"Oconee, GA","61","19.8%","$555,775","2.3%","46.2%","42,788"
"Bibb, AL","50","-34.8%","$214,983","2.0%","30.1%","22,152"
"Bibb, GA","65","17.1%","$166,248","0.3%","28.6%","156,512"
"Newton, MS","55","-28.5%","$140,826","-3.5%","14.8%","21,151"
"Newton, GA","51","32.4%","$299,091","-2.3%","44.4%","120,135"
"Forsyth, NC","42","10.5%","$277,456","1.1%","28.1%","392,921"
"Forsyth, GA","36","30.9%","$642,188","-0.2%","28.0%","272,887"
"Muscogee, GA","46","25.5%","$179,873","3.8%","-8.4%","201,877"
"Carroll, OH","33","60.9%","$188,491","8.0%","-14.0%","26,731"
"Carroll, TN","60","-17.2%","$171,726","0.1%","42.8%","28,461"
"Carroll, KY","48","-10.2%","$188,032","8.1%","-2.7%","10,878"
"Carroll, VA","54","20.6%","$164,771","-6.4%","-16.7%","29,158"
"Carroll, IN","40","23.0%","$224,278","6.0%","10.2%","20,443"
"Carroll, GA","52","30.8%","$292,209","0.0%","60.6%","127,098"
"Lee, KY","100","94.1%","$158,318","16.0%","57.2%","7,375"
"Lee, MS","59","7.7%","$195,615","4.5%","-5.2%","82,799"
"Lee, VA","75","2.0%","$100,382","8.5%","0.0%","22,042"
"Lee, SC","44","-52.9%","$122,400","-0.8%","38.1%","16,330"
"Lee, NC","49","-0.5%","$287,209","1.7%","62.5%","67,059"
"Lee, AL","47","1.0%","$334,070","3.0%","22.1%","183,215"
"Cherokee, SC","47","-12.1%","$180,518","-0.4%","63.1%","56,299"
"Cherokee, NC","65","18.1%","$275,046","2.1%","27.7%","29,197"
"Cherokee, GA","43","24.6%","$479,019","0.1%","19.2%","286,602"
"Cherokee, AL","73","44.5%","$226,428","5.0%","28.9%","25,224"
"Etowah, AL","57","9.6%","$174,000","4.7%","8.3%","103,241"
"Autauga, AL","37","-13.9%","$250,578","4.0%","-8.1%","59,285"
"Vermillion, IN","65","111.3%","$124,654","6.2%","5.9%","15,452"
"Clark, IN","37","0.0%","$260,578","3.0%","24.9%","125,467"
"Clark, OH","39","36.8%","$192,614","7.1%","23.4%","134,610"
"Clark, KY","58","28.8%","$256,711","6.9%","56.4%","37,004"
"Clark, IL","70","5.3%","$137,513","0.1%","-34.1%","15,328"
"Coles, IL","31","-40.9%","$135,663","4.7%","-55.5%","46,689"
"Wayne, IN","43","3.6%","$162,518","8.3%","5.0%","66,127"
"Wayne, TN","75","-9.1%","$172,338","3.2%","10.5%","16,251"
"Wayne, KY","72","-17.2%","$169,826","8.9%","37.9%","19,592"
"Wayne, WV","52","0.4%","$133,264","3.0%","-39.7%","38,498"
"Wayne, IL","95","23.3%","$134,710","-1.2%","15.6%","15,994"
"Piatt, IL","30","-54.7%","$212,459","4.6%","-47.6%","16,702"
"Moultrie, IL","42","-2.3%","$164,017","9.5%","-58.0%","14,469"
"Fayette, WV","46","-18.2%","$126,641","3.5%","6.8%","39,987"
"Fayette, TN","65","-0.3%","$373,255","1.1%","95.2%","42,653"
"Fayette, PA","67","16.5%","$139,158","-2.0%","-18.1%","123,915"
"Fayette, KY","37","20.3%","$322,069","4.6%","-3.6%","320,154"
"Fayette, OH","44","62.9%","$228,933","4.8%","19.7%","28,880"
"Fayette, IN","45","-2.7%","$157,004","8.1%","36.3%","23,390"
"Fayette, AL","63","36.2%","$142,092","4.4%","73.2%","16,173"
"Fayette, GA","54","56.5%","$499,763","0.8%","42.6%","123,351"
"Fayette, IL","60","52.8%","$155,202","-0.5%","-38.6%","21,380"
"Peoria, IL","37","6.4%","$149,213","7.3%","-57.1%","177,513"
"Morgan, AL","57","23.2%","$231,135","2.4%","62.2%","125,133"
"Morgan, OH","63","2.0%","$150,346","0.1%","32.6%","13,758"
"Morgan, GA","77","58.7%","$441,433","0.5%","17.5%","20,614"
"Morgan, KY","68","-5.8%","$143,223","2.1%","24.2%","13,938"
"Morgan, TN","57","30.2%","$196,844","-0.6%","6.4%","21,193"
"Morgan, IN","42","28.2%","$294,808","4.5%","20.0%","73,227"
"Dickson, TN","45","50.0%","$360,160","1.9%","66.0%","55,197"
"Lawrence, IL","63","-19.6%","$96,439","4.5%","22.5%","15,137"
"Lawrence, OH","39","-38.1%","$132,034","5.1%","-25.0%","57,385"
"Lawrence, AL","71","71.9%","$224,699","4.1%","19.2%","33,182"
"Lawrence, IN","53","11.1%","$198,746","1.5%","15.4%","45,077"
"Lawrence, KY","33","-53.3%","$169,814","9.2%","-41.3%","16,171"
"Lawrence, TN","60","18.4%","$235,999","3.1%","88.4%","44,901"
"Hopkins, KY","66","37.5%","$158,566","6.4%","34.7%","45,143"
"Crittenden, KY","39","-9.3%","$124,785","6.2%","15.3%","8,972"
"Ballard, KY","36","-6.4%","$141,668","9.7%","-52.0%","7,678"
"Union, TN","61","7.4%","$280,059","2.2%","32.4%","20,141"
"Union, NC","40","37.9%","$450,567","0.4%","45.0%","256,452"
"Union, OH","37","47.4%","$411,450","2.7%","38.0%","69,637"
"Union, GA","59","14.0%","$394,670","4.1%","36.3%","25,598"
"Union, MS","82","23.7%","$190,619","10.1%","24.6%","28,009"
"Union, SC","81","75.1%","$111,048","1.1%","62.7%","26,990"
"Union, IN","41","-40.1%","$183,098","3.2%","-7.6%","7,028"
"Union, KY","35","15.7%","$132,508","10.4%","52.9%","13,379"
"Union, IL","49","-6.7%","$143,132","0.1%","-26.3%","16,972"
"Lauderdale, MS","58","-13.1%","$120,045","2.3%","-41.2%","70,527"
"Lauderdale, AL","54","13.6%","$217,385","1.7%","24.7%","96,814"
"Lauderdale, TN","49","-12.8%","$124,344","-7.4%","20.4%","24,933"
"Pemiscot, MO","107","100.0%","$90,789","4.8%","14.2%","15,232"
"Cullman, AL","63","-3.0%","$250,721","2.2%","21.2%","92,016"
"Hale, AL","54","1.9%","$164,768","-2.0%","40.6%","14,749"
"Lowndes, AL","36","-36.3%","$148,935","0.1%","-19.3%","10,008"
"Lowndes, MS","47","-4.0%","$183,754","5.7%","-2.0%","58,187"
"Scott, VA","56","-8.2%","$163,071","2.4%","-1.8%","21,504"
"Scott, TN","75","-9.0%","$171,672","2.9%","75.7%","21,969"
"Scott, IN","36","-8.8%","$199,152","3.2%","23.2%","24,468"
"Scott, KY","49","-20.9%","$320,131","4.2%","0.1%","58,269"
"Scott, MO","60","-8.8%","$148,195","3.0%","-15.9%","37,967"
"Scott, MS","58","7.4%","$107,834","1.4%","29.7%","27,754"
"Lebanon, PA","44","29.4%","$301,242","4.9%","22.3%","144,252"
"Charles, MD","30","3.4%","$457,281","2.1%","25.9%","171,973"
"Carroll, MD","19","-35.0%","$494,279","2.9%","9.1%","176,639"
"Stafford, VA","26","13.0%","$542,960","4.5%","10.0%","165,428"
"Loudoun, VA","23","-2.1%","$814,730","4.7%","23.6%","436,347"
"Orange, VA","37","8.8%","$374,824","3.0%","15.6%","37,208"
"Fulton, PA","24","-38.8%","$226,826","-0.6%","-50.5%","14,545"
"Madison, VA","45","93.5%","$400,526","5.3%","2.8%","13,931"
"Mathews, VA","38","-33.3%","$334,618","2.7%","-44.7%","8,517"
"Chowan, NC","64","-21.9%","$221,895","2.8%","6.4%","13,814"
"Surry, VA","31","-53.7%","$278,793","1.1%","47.0%","6,552"
"Prince George, VA","43","-5.4%","$346,339","4.3%","2.1%","42,873"
"Hopewell, VA","30","-22.8%","$211,162","2.2%","7.6%","22,944"
"Berks, PA","21","-19.2%","$300,440","5.5%","-32.9%","432,821"
"York, PA","30","-10.4%","$295,531","4.6%","-19.6%","464,640"
"York, VA","25","7.5%","$453,608","3.5%","-42.0%","70,952"
"James City, VA","37","1.3%","$482,136","4.7%","-18.0%","82,654"
"Bertie, NC","101","34.9%","$60,468","-8.8%","20.0%","17,482"
"Onslow, NC","51","18.6%","$282,218","2.6%","22.5%","213,676"
"Lunenburg, VA","51","-21.2%","$137,060","2.3%","-17.6%","11,990"
"Pender, NC","50","6.3%","$434,687","1.4%","43.9%","68,521"
"Johnston, NC","56","32.5%","$345,390","-0.9%","55.1%","241,955"
"Sampson, NC","55","-13.4%","$140,163","0.8%","59.2%","59,245"
"Dauphin, PA","30","9.0%","$267,893","4.4%","-12.7%","289,234"
"District of Columbia, DC","44","8.6%","$616,688","-3.0%","66.2%","678,972"
"Perry, PA","30","17.6%","$285,340","0.7%","3.3%","45,988"
"Juniata, PA","64","132.7%","$224,548","2.4%","-29.1%","23,419"
"Arlington, VA","28","-4.2%","$847,403","3.4%","31.3%","234,162"
"Fredericksburg, VA","24","-25.0%","$466,331","3.3%","-0.4%","28,383"
"Huntingdon, PA","36","-46.2%","$174,012","1.5%","-30.2%","43,844"
"Clarke, VA","25","63.9%","$554,968","4.5%","-18.7%","15,060"
"Pasquotank, NC","36","-17.2%","$261,181","5.0%","5.2%","40,830"
"Norfolk, VA","33","10.0%","$304,330","1.4%","-16.3%","230,930"
"Pamlico, NC","61","13.6%","$260,387","2.7%","-0.2%","12,315"
"New Kent, VA","46","-10.7%","$426,869","3.4%","3.7%","24,139"
"Southampton, VA","51","13.4%","$254,609","4.8%","-3.7%","17,988"
"Edgecombe, NC","63","49.1%","$135,378","-3.1%","27.4%","48,777"
"Colonial Heights, VA","41","20.9%","$280,567","2.9%","-14.4%","18,210"
"Emporia, VA","47","11.8%","$143,146","3.3%","-7.9%","5,633"
"Powhatan, VA","32","12.2%","$478,110","5.2%","-7.9%","31,074"
"Wilson, NC","57","9.6%","$216,807","1.1%","47.9%","78,970"
"Fluvanna, VA","34","6.3%","$371,750","3.8%","-22.2%","27,764"
"Brunswick, VA","52","-19.3%","$128,291","-10.4%","11.7%","15,868"
"Brunswick, NC","57","0.0%","$411,767","0.1%","48.8%","159,964"
"Mecklenburg, VA","54","-17.5%","$204,453","5.7%","-6.4%","30,431"
"Sussex, VA","47","-7.8%","$171,928","-1.9%","-6.1%","10,793"
"Camden, NC","59","27.5%","$388,041","6.7%","-16.1%","10,743"
"Talbot, MD","51","-0.9%","$498,693","3.0%","-2.4%","37,707"
"Anne Arundel, MD","24","-5.8%","$509,634","2.5%","-10.5%","594,582"
"Fauquier, VA","31","-15.0%","$631,196","5.2%","-6.4%","75,165"
"Northampton, NC","49","-32.4%","$112,745","3.3%","26.7%","17,212"
"Hyde, NC","67","-45.0%","$203,095","1.5%","22.6%","4,625"
"Perquimans, NC","73","-4.5%","$264,764","5.1%","-1.6%","13,146"
"Beaufort, NC","62","28.7%","$238,430","5.5%","18.6%","44,597"
"Hertford, NC","53","-26.3%","$113,646","-6.9%","-13.0%","20,492"
"Duplin, NC","78","41.8%","$183,626","4.1%","28.5%","49,053"
"Prince Edward, VA","67","-6.9%","$228,782","-3.0%","22.0%","21,932"
"Harford, MD","29","4.5%","$415,916","1.4%","10.8%","264,644"
"Northumberland, VA","51","-6.4%","$367,151","2.3%","-22.7%","12,085"
"Calvert, MD","28","-9.6%","$476,299","2.9%","-20.5%","94,728"
"Prince George's, MD","31","12.7%","$437,052","1.7%","38.4%","947,430"
"Montgomery, MD","23","-2.1%","$639,361","3.2%","18.7%","1,058,474"
"Caroline, VA","44","27.5%","$330,482","2.1%","-1.7%","31,541"
"Falls Church, VA","47","147.3%","$1,111,058","7.5%","104.8%","14,593"
"Culpeper, VA","39","24.8%","$470,285","4.0%","0.0%","53,563"
"Winchester, VA","22","-8.3%","$345,557","2.8%","0.4%","27,981"
"Newport News, VA","36","10.7%","$287,111","3.1%","-13.5%","183,118"
"Craven, NC","53","21.8%","$268,813","2.8%","18.7%","102,391"
"Jones, NC","44","-30.1%","$127,866","-1.2%","29.1%","9,245"
"Pitt, NC","50","17.6%","$243,035","1.2%","46.5%","175,119"
"Goochland, VA","47","-8.7%","$582,571","4.6%","-17.1%","25,613"
"New Hanover, NC","54","16.1%","$444,783","0.8%","37.0%","238,852"
"Halifax, NC","74","32.7%","$96,741","-0.4%","1.3%","48,219"
"Essex, VA","46","-32.6%","$292,063","3.3%","-7.6%","10,604"
"Baltimore, MD","44","7.3%","$184,072","0.3%","2.9%","565,239"
"Baltimore, MD","26","-0.9%","$360,114","2.4%","-4.5%","844,703"
"Westmoreland, VA","58","5.4%","$315,697","5.0%","19.8%","18,683"
"Snyder, PA","100","110.5%","$232,997","3.4%","-14.5%","39,711"
"King George, VA","24","-36.0%","$461,901","3.2%","-13.5%","27,468"
"Fairfax, VA","56","292.9%","$799,712","5.6%","33.3%","24,478"
"Fairfax, VA","22","12.8%","$792,806","4.2%","18.8%","1,141,878"
"Frederick, VA","31","-3.1%","$424,293","3.0%","3.7%","95,994"
"Frederick, MD","23","-11.5%","$511,685","3.4%","4.2%","293,391"
"Spotsylvania, VA","27","-18.1%","$450,876","3.5%","10.5%","149,588"
"Manassas Park, VA","85","-","$461,332","4.3%","0.0%","16,923"
"Louisa, VA","51","-22.3%","$404,768","5.4%","16.4%","39,012"
"Jefferson, WV","36","-12.7%","$393,831","5.5%","37.3%","58,546"
"Greene, NC","104","285.1%","$178,552","0.9%","47.5%","20,421"
"Greene, VA","25","-57.5%","$369,195","4.7%","-1.3%","20,850"
"Carteret, NC","64","0.0%","$468,456","1.1%","15.8%","69,615"
"Hampton, VA","39","47.1%","$269,205","1.5%","-13.9%","137,098"
"Lancaster, PA","23","-22.0%","$370,278","3.6%","-20.7%","558,589"
"Lancaster, VA","61","32.6%","$377,760","4.6%","-41.4%","10,876"
"Portsmouth, VA","31","19.2%","$256,046","2.6%","-19.4%","96,793"
"Poquoson, VA","32","-29.2%","$452,165","3.9%","-32.9%","12,556"
"King William, VA","55","-12.1%","$344,020","3.4%","4.7%","18,232"
"Petersburg, VA","37","-8.7%","$193,311","4.4%","-10.6%","33,365"
"Richmond, VA","71","33.3%","$234,720","3.5%","18.8%","9,047"
"Richmond, VA","32","-16.3%","$366,557","2.5%","24.2%","229,247"
"Dinwiddie, VA","40","-10.6%","$282,857","3.9%","-22.2%","28,083"
"Nash, NC","54","-2.7%","$233,103","0.6%","59.8%","96,551"
"Vance, NC","49","1.0%","$188,131","1.5%","37.3%","42,361"
"Suffolk, VA","40","6.6%","$378,435","2.6%","1.0%","100,659"
"Dorchester, MD","58","17.1%","$269,512","3.0%","9.0%","32,612"
"Queen Anne's, MD","40","-9.6%","$520,022","4.1%","5.6%","50,951"
"Schuylkill, PA","41","4.5%","$151,975","6.7%","-1.6%","143,786"
"St. Mary's, MD","30","12.1%","$423,202","2.9%","-14.4%","115,281"
"Howard, MD","16","-5.8%","$647,095","2.5%","-7.2%","336,001"
"Cumberland, VA","37","9.6%","$279,655","5.4%","-5.6%","9,745"
"Cumberland, PA","36","9.0%","$334,474","3.3%","-6.1%","270,738"
"Adams, PA","35","-14.6%","$324,760","4.6%","-7.6%","106,748"
"Alexandria, VA","23","22.6%","$690,599","2.6%","32.4%","155,230"
"Mifflin, PA","39","26.8%","$180,085","6.1%","-21.6%","46,074"
"Manassas, VA","22","51.7%","$498,461","4.8%","42.2%","42,674"
"Berkeley, WV","32","20.7%","$311,289","4.2%","-6.2%","132,440"
"Rappahannock, VA","52","39.6%","$557,353","2.1%","-28.6%","7,409"
"Warren, NC","58","31.0%","$238,148","0.6%","40.5%","18,751"
"Warren, VA","34","-20.2%","$380,478","5.6%","-1.7%","41,104"
"Morgan, WV","38","-23.6%","$295,076","6.8%","14.4%","17,327"
"Charlottesville, VA","36","-8.2%","$491,419","4.4%","30.9%","45,863"
"Currituck, NC","72","25.7%","$552,352","2.2%","-12.9%","29,612"
"Tyrrell, NC","35","-9.6%","$164,558","-0.0%","-57.8%","3,376"
"Gloucester, VA","41","-11.9%","$362,788","4.8%","-23.1%","39,228"
"Washington, MD","36","30.9%","$328,509","4.0%","-13.0%","155,813"
"Washington, NC","111","54.5%","$108,852","1.2%","-18.5%","10,905"
"Gates, NC","23","-47.7%","$245,592","15.5%","20.8%","10,437"
"King and Queen, VA","37","-28.8%","$286,016","10.3%","-25.1%","6,676"
"Williamsburg, VA","9","350.0%","$403,494","2.3%","0.0%","15,564"
"Charles City, VA","31","-44.2%","$279,378","3.8%","-28.8%","6,686"
"Hanover, VA","44","-32.3%","$441,323","2.6%","-12.1%","114,148"
"Henrico, VA","32","-8.5%","$394,127","2.9%","2.3%","334,760"
"Chesterfield, VA","38","2.7%","$403,545","2.0%","-0.1%","383,876"
"Greensville, VA","26","-22.3%","$155,550","3.4%","54.8%","11,304"
"Lenoir, NC","54","2.8%","$139,477","5.1%","11.0%","54,917"
"Wayne, NC","58","38.1%","$182,708","-1.5%","55.4%","118,686"
"Middlesex, VA","55","59.4%","$382,187","5.0%","-32.7%","10,774"
"Prince William, VA","16","-5.8%","$593,397","4.4%","13.5%","489,640"
"Blair, PA","50","17.6%","$171,476","4.7%","-13.8%","120,273"
"Chesapeake, VA","31","6.9%","$413,685","3.9%","-20.3%","253,886"
"Isle of Wight, VA","44","40.8%","$367,063","0.7%","-16.2%","39,444"
"Martin, NC","57","39.0%","$118,263","-3.9%","-0.8%","21,773"
"Franklin, PA","36","17.0%","$277,086","2.7%","-3.8%","157,854"
"Franklin, NC","52","11.8%","$365,185","0.6%","86.3%","77,001"
"Franklin, VA","47","106.6%","$221,181","6.0%","31.6%","8,212"
"Amelia, VA","43","-8.9%","$319,707","9.4%","-5.8%","13,342"
"Nottoway, VA","57","26.6%","$183,292","8.0%","28.4%","15,597"
"Page, VA","39","-11.4%","$284,102","4.4%","21.4%","23,750"
"Terrell, TX","77","35.0%","$122,944","-1.6%","42.8%","851"
"Presidio, TX","148","17.9%","$224,687","1.5%","44.3%","6,043"
"Santa Cruz, AZ","80","15.1%","$279,647","0.6%","59.3%","48,209"
"Reagan, TX","50","-45.6%","$175,642","-0.1%","39.1%","3,259"
"Crane, TX","36","-14.7%","$201,225","0.8%","10.3%","4,623"
"Crockett, TX","42","-75.9%","$102,827","-20.2%","23.0%","2,881"
"Upton, TX","149","68.3%","$107,690","7.9%","49.1%","3,227"
"Tom Green, TX","51","12.0%","$244,151","1.4%","114.1%","119,057"
"Val Verde, TX","82","7.1%","$210,894","2.5%","52.7%","47,647"
"Irion, TX","28","-26.3%","$260,413","4.6%","-47.8%","1,432"
"Ward, TX","76","70.6%","$162,110","-2.5%","23.2%","11,255"
"Pecos, TX","79","-6.2%","$163,073","-8.4%","24.7%","14,983"
"Brewster, TX","85","-28.8%","$213,747","2.7%","53.2%","9,464"
"Jeff Davis, TX","142","70.4%","$190,261","-5.5%","90.2%","1,740"
"Lafourche, LA","72","-0.6%","$185,258","-2.6%","42.2%","95,056"
"Tangipahoa, LA","53","-7.0%","$216,176","0.2%","2.8%","138,064"
"Adams, MS","79","8.2%","$116,684","6.9%","-6.5%","29,098"
"Pointe Coupee, LA","66","-7.0%","$180,043","-5.1%","1.5%","20,438"
"Acadia, LA","94","49.0%","$149,282","-1.1%","7.5%","57,218"
"Newton, TX","105","69.9%","$142,214","-2.5%","97.2%","12,193"
"Bell, TX","61","19.6%","$256,118","-2.2%","102.0%","393,193"
"Harris, TX","43","10.2%","$287,713","-1.3%","40.9%","4,835,125"
"Goliad, TX","56","-56.9%","$280,634","6.1%","2.9%","7,096"
"Kendall, TX","67","15.5%","$606,426","-0.1%","41.7%","46,971"
"Gillespie, TX","84","-0.8%","$525,418","0.5%","92.8%","27,202"
"La Salle, TX","71","-29.1%","$133,563","5.6%","39.1%","6,946"
"Frio, TX","61","0.0%","$152,820","-9.5%","15.1%","18,019"
"Marion, MS","56","-27.9%","$133,355","2.2%","-26.5%","24,303"
"Pike, MS","63","-21.3%","$100,402","5.5%","-13.3%","39,930"
"Plaquemines, LA","58","-7.9%","$291,490","0.8%","54.1%","23,070"
"St. Charles, LA","61","23.2%","$258,667","0.5%","83.0%","51,863"
"Livingston, LA","64","7.5%","$249,636","1.2%","9.4%","150,145"
"Concordia, LA","118","43.0%","$102,123","-5.2%","2.0%","18,325"
"Avoyelles, LA","81","8.0%","$126,429","1.5%","0.4%","39,176"
"Trinity, TX","86","31.3%","$184,727","2.2%","54.4%","13,850"
"Terrebonne, LA","91","25.5%","$175,241","-4.5%","39.1%","103,616"
"Vermilion, LA","73","9.8%","$163,125","-1.3%","10.5%","57,031"
"Limestone, TX","43","-25.2%","$166,691","3.6%","61.4%","22,185"
"McLennan, TX","33","-40.5%","$262,406","-0.9%","83.4%","268,583"
"Lampasas, TX","82","23.7%","$309,328","1.6%","81.4%","22,267"
"Fort Bend, TX","38","20.6%","$394,689","-0.5%","29.0%","916,778"
"Austin, TX","52","-10.7%","$424,975","2.7%","51.1%","30,712"
"Burleson, TX","63","9.5%","$253,209","-1.6%","61.7%","18,327"
"Aransas, TX","75","-6.8%","$311,937","-3.1%","87.9%","24,449"
"Gonzales, TX","84","30.2%","$264,324","-2.5%","48.5%","19,764"
"Travis, TX","47","6.8%","$510,751","-5.5%","83.8%","1,334,961"
"Guadalupe, TX","50","2.0%","$313,070","-3.1%","63.6%","188,454"
"Sutton, TX","121","21.4%","$158,117","-6.4%","-7.8%","3,306"
"St. James, LA","102","64.5%","$188,843","-0.1%","4.9%","19,797"
"LaSalle, LA","95","-1.0%","$143,106","-8.0%","25.5%","14,804"
"Vernon, LA","69","18.9%","$161,112","4.1%","30.9%","47,764"
"Sabine, LA","100","-2.4%","$171,890","1.2%","51.0%","22,085"
"Sabine, TX","98","33.5%","$184,573","-1.8%","47.6%","9,998"
"St. Landry, LA","68","-27.0%","$127,607","-5.1%","-0.0%","81,464"
"San Saba, TX","111","46.3%","$204,741","-9.9%","65.5%","5,802"
"Grimes, TX","71","11.0%","$337,020","3.7%","48.8%","30,385"
"Lavaca, TX","61","-27.8%","$285,665","1.1%","38.8%","20,479"
"Fayette, TX","96","47.1%","$461,251","1.4%","71.4%","24,783"
"Lee, TX","73","73.8%","$352,651","2.4%","100.0%","17,758"
"Live Oak, TX","81","-7.1%","$224,856","0.0%","40.0%","11,444"
"Comal, TX","66","12.8%","$446,291","-2.4%","73.5%","193,928"
"Duval, TX","120","34.8%","$87,775","5.3%","-13.7%","9,824"
"Kerr, TX","73","-0.6%","$383,756","-1.8%","61.0%","53,166"
"Real, TX","120","7.6%","$273,358","0.7%","111.6%","2,821"
"Kinney, TX","111","-9.0%","$111,952","-5.0%","20.2%","3,140"
"Amite, MS","92","-43.1%","$152,977","5.6%","-38.4%","12,611"
"St. Martin, LA","88","61.4%","$164,820","-0.2%","6.1%","51,559"
"West Baton Rouge, LA","55","-20.8%","$244,558","2.8%","-26.9%","27,666"
"West Feliciana, LA","71","-18.8%","$380,345","7.4%","-32.0%","15,381"
"Chambers, TX","42","-13.8%","$345,063","2.4%","15.8%","49,178"
"Leon, TX","72","-3.0%","$312,570","1.3%","27.2%","16,067"
"Mills, TX","78","-21.3%","$364,949","6.0%","93.5%","4,499"
"Matagorda, TX","75","1.0%","$207,784","2.7%","32.2%","36,274"
"Wharton, TX","70","40.0%","$239,218","1.0%","20.4%","41,651"
"Bastrop, TX","60","6.1%","$374,220","-1.2%","91.4%","110,778"
"Caldwell, TX","71","8.4%","$302,534","-2.9%","99.7%","47,184"
"Bee, TX","65","-24.4%","$167,799","0.9%","25.9%","31,000"
"Jim Wells, TX","89","15.6%","$145,344","-1.7%","16.9%","38,863"
"Llano, TX","73","1.7%","$480,173","-0.9%","77.6%","22,011"
"Medina, TX","64","7.5%","$331,387","1.7%","95.3%","52,419"
"Kimble, TX","95","18.7%","$324,974","3.1%","104.2%","4,355"
"Orleans, LA","68","5.0%","$244,868","-3.6%","34.7%","364,136"
"East Feliciana, LA","68","46.7%","$207,577","0.6%","8.9%","19,378"
"Wilkinson, MS","28","-36.7%","$113,140","4.0%","-54.7%","8,376"
"Franklin, MS","86","0.5%","$153,592","0.7%","6.1%","7,655"
"St. Mary, LA","101","51.3%","$124,270","0.7%","0.7%","48,455"
"Lafayette, LA","69","16.9%","$232,631","-2.5%","2.7%","249,750"
"Evangeline, LA","69","-27.3%","$115,362","-1.3%","9.6%","32,162"
"Jefferson, MS","127","112.6%","$113,974","0.6%","-3.4%","7,127"
"Jefferson, LA","58","5.4%","$245,737","-3.2%","51.6%","421,777"
"Jefferson, TX","58","-0.8%","$162,066","1.2%","29.7%","251,496"
"Liberty, TX","58","-11.4%","$235,357","-0.4%","73.2%","108,272"
"San Jacinto, TX","64","11.3%","$243,822","5.4%","50.2%","27,983"
"Houston, TX","70","-22.2%","$208,745","-2.2%","30.8%","22,042"
"Brazoria, TX","45","0.0%","$327,258","1.1%","45.3%","398,938"
"Montgomery, TX","43","6.1%","$357,504","-0.0%","46.5%","711,354"
"Jackson, TX","68","-12.8%","$216,700","-3.3%","72.1%","15,081"
"Milam, TX","86","18.6%","$267,014","0.3%","89.2%","25,268"
"DeWitt, TX","69","14.0%","$229,812","-2.3%","57.1%","19,853"
"Nueces, TX","68","0.0%","$227,109","-1.7%","76.6%","352,289"
"Karnes, TX","97","26.8%","$210,862","-1.3%","50.0%","14,819"
"Atascosa, TX","66","22.2%","$246,554","-1.8%","84.5%","50,058"
"Mason, TX","111","76.1%","$343,025","9.0%","53.6%","3,951"
"Cameron, LA","114","73.2%","$211,148","-3.1%","39.2%","5,222"
